Customer	City	Channel	Segment	Urbanicity	Traffic	Traffic Index	Equipment (Y/N)	# of doors	Sales 2025 CS
10149	якзмвеб апъц	Cafe	Residential	5	25653,52	High	Yes	1	0
10150	пюбдю	Hotels	Seasonal Low/Mid Traffic	4	13046,35	Medium	Yes	2	53
10151	яхмелнпеж	Hotels	Rural Affordable	8	6660,17	Low	Yes	1	16
10152	йхрем	Supermarket	Seasonal Low/Mid Traffic	3	14396,65	Medium	Yes	5,5	968,997
10153	онлнпхе	FSR	Residential	5	22740,4	Medium	Yes	2	0
10154	онлнпхе	FSR	Residential	5	21145,79	Medium	Yes	3	297
10155	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	37439,14	High	Yes	3	207
10156	якзмвеб апъц	Hotels	Seasonal High Traffic	1	26758,5	High	Yes	0,7	0
10157	яберх бкюя	FSR	Seasonal Low/Mid Traffic	3	18410,77	Medium	Yes	1	124
10158	меяеазп	FSR	Seasonal High Traffic	2	47408,51	High	Yes	3	61
10159	кнгемеж	Bar	Seasonal Low/Mid Traffic	7	12666,04	Medium	Yes	3,3	0
10160	якзмвеб апъц	FSR	Seasonal High Traffic	1	20693,14	Medium	No	0	0
10161	нагнп	Hotels	Seasonal Low/Mid Traffic	5	20105	Medium	Yes	2,7	32,5
10162	янгнонк	FSR	Residential	4	32781,64	High	Yes	1	54
10163	пюбдю	Hotels	Seasonal Low/Mid Traffic	4	12822,89	Medium	Yes	4,5	0
10164	якзмвеб апъц	Cafe	Seasonal High Traffic	2	19261,17	Medium	Yes	4	0
10165	якзмвеб апъц	FSR	Seasonal High Traffic	1	30608,5	High	Yes	4	621
10166	якзмвеб апъц	Hotels	Seasonal High Traffic	2	17442,42	Medium	Yes	3	131
10167	опхлнпяйн	Hotels	Residential	8	2095,53	Low	Yes	10	0
10168	якзмвеб апъц	Hotels	Seasonal High Traffic	5	22080,69	Medium	No	0	16
10169	опхлнпяйн	FSR	Residential	3	26040,46	High	Yes	1	0
10170	янгнонк	Supermarket	Residential	4	28627,76	High	Yes	3,5	0
10171	опхлнпяйн	Supermarket	Seasonal Low/Mid Traffic	3	13806,5	Medium	Yes	2	0
10172	опхлнпяйн	Hotels	Residential	3	18753,27	Medium	Yes	1	0
